NCT_ID;Asset_Name;Antibody_Format;Antibody_Name;Target_Antigen;Radioisotope;Chelator;Linker_Technology;Category;Asset_Owner;Is_RIT;Asset_Name_Conf;Antibody_Format_Conf;Antibody_Name_Conf;Target_Antigen_Conf;Radioisotope_Conf;Chelator_Conf;Linker_Technology_Conf;Category_Conf;Asset_Owner_Conf;Notes;Extraction_Method;Sources;Phase;Lead_Sponsor;Sponsor_Class;Status;Start_Date;First_Posted;Enrollment;Countries;Conditions;EudraCT_Number;CTIS_Number;Secondary_IDs;Source_Registry;Registry_URL;Target_Antigen_Norm;Antibody_Name_Norm;Radioisotope_Norm;Chelator_Norm;Antibody_Format_Norm;Asset_Owner_Norm;Linker_Technology_Norm;Phase_Norm;Sponsor_Type;Start_Year;Target_Family;Format_Family;Isotope_Family;Chelator_Family
NCT07240610;;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. Observational study of ICIs + ultra-hypofractionated external beam RT for mRCC. No radiolabeled antibody.;llm_extracted;;;Zhe Chen;OTHER;RECRUITING;2025-11-10;2025-11-21;145.0;Japan;Renal Cell Cancer Metastatic;;;OTHER:UMIN000059652 | OTHER:JP24K02397;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT07240610;;;;;;;;;Academic/Hospital;2025.0;;;;
NCT06376435;;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. Supportive care study (Herombopag for thrombocytopenia) in patients on RT+immunotherapy combo. Not a RIT trial itself.;llm_extracted;;;Hebei Medical University Fourth Hospital;OTHER;NOT_YET_RECRUITING;2024-04-20;2024-04-19;500.0;;Cancer, Therapy-Related;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06376435;;;;;;;;;Academic/Hospital;2024.0;;;;
NCT00138086;90Y-ibritumomab tiuxetan (Zevalin);Full-length IgG;ibritumomab;CD20;Y-90;tiuxetan (MX-DTPA);Direct conjugation;Therapeutic;Biogen Idec / Spectrum Pharmaceuticals;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;MEDIUM;Zevalin + BEAM + ASCT for relapsed low-grade B-cell NHL. Phase II by LYSA (Lymphoma Study Association).;llm_extracted;;PHASE2;Lymphoma Study Association;OTHER;COMPLETED;2005-03;2005-08-30;75.0;Belgium, France, Switzerland;B-Cell Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00138086;CD20;ibritumomab;Y-90;MX-DTPA (tiuxetan);Full-length IgG;Biogen Idec / Spectrum Pharmaceuticals;Direct conjugation;Phase 2;Academic/Hospital;2005.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Acyclic chelator
NCT01662102;90Y-ibritumomab tiuxetan (Zevalin);Full-length IgG;ibritumomab;CD20;Y-90;tiuxetan (MX-DTPA);Direct conjugation;Therapeutic;Spectrum Pharmaceuticals;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;RoZetta trial: Zevalin consolidation vs rituximab maintenance after R-chemo in follicular lymphoma. Terminated early for business reasons.;llm_extracted;;PHASE3;Spectrum Pharmaceuticals, Inc;INDUSTRY;TERMINATED;2012-12-11;2012-08-10;1.0;United States;Follicular Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01662102;CD20;ibritumomab;Y-90;MX-DTPA (tiuxetan);Full-length IgG;Biogen Idec / Spectrum Pharmaceuticals;Direct conjugation;Phase 3;Industry;2012.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Acyclic chelator
NCT01273402;TF2/IMP-288 (90Y pretargeted);Bispecific antibody;TF2;CEA;"Y-90; In-111";DOTA;Bispecific pretargeting (PRIT);Theranostic;Immunomedics / Gilead Sciences;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;PRIT with anti-CEA x anti-DOTA-hapten bsMAb TF2 + 90Y-IMP-288 hapten-peptide. In-111 for dosimetry. Metastatic colorectal cancer.;llm_extracted;;PHASE1;Gilead Sciences;INDUSTRY;WITHDRAWN;2011-02;2011-01-10;0.0;United States;Metastatic Colorectal Cancer;;;NIH:5R01CA107088-04;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01273402;CEA;TF2;"Y-90; In-111";DOTA;Bispecific antibody;Immunomedics;Bispecific pretargeting;Phase 1;Industry;2011.0;Epithelial tumor-associated antigen;Bispecific;Beta emitter;Macrocyclic chelator
NCT01676558;131I-rituximab;Full-length IgG;rituximab;CD20;I-131;Direct radioiodination;Direct radioiodination;Therapeutic;Korea Cancer Center Hospital;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;Investigator-initiated 131I-rituximab for relapsed/refractory DLBCL. Academic Korean program.;llm_extracted;;PHASE2;Korea Cancer Center Hospital;OTHER;UNKNOWN;2012-06;2012-08-31;24.0;South Korea;Relapsed or Refractory Diffuse Large B Cell Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01676558;CD20;rituximab;I-131;Direct radioiodination;Full-length IgG;Korea Cancer Center Hospital;Direct radioiodination;Phase 2;Academic/Hospital;2012.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT07059949;Not applicable;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. External beam RT (25 Gy/5F) + camrelizumab (PD-1) + CAPOX/cetuximab/bevacizumab. No radiolabeled antibody. Pattern #2.;llm_extracted;;PHASE2;Union Hospital, Tongji Medical College, Huazhong University of Science and Technology;OTHER;NOT_YET_RECRUITING;2025-06-30;2025-07-11;80.0;;Unresectable Metastatic Rectal Cancer, CAPOX, Combination of Radioimmunotherapy;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT07059949;;;;;;;;Phase 2;Academic/Hospital;2025.0;;;;
NCT02581878;BAY1862864 (227Th-epratuzumab);Full-length IgG (humanized IgG1);epratuzumab;CD22;Th-227;3,2-HOPO;Direct conjugation (chelator-antibody, CAR ~0.8);Therapeutic;Bayer;Yes;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;CD22-targeting RIT by Bayer. Radioisotope not stated in trial. Needs web verification. Program discontinued. | WEB ENRICHMENT: Confirmed RIT. 227Th-labeled anti-CD22 antibody (epratuzumab) with 3,2-HOPO chelator. Phase I FIH study in R/R CD22+ NHL. ORR 24% (5/21). Part of Bayer Targeted Thorium Conjugate (TTC) platform. Program discontinued.;llm_extracted;https://pubmed.ncbi.nlm.nih.gov/33887152/|https://www.researchgate.net/publication/351072030;PHASE1;Bayer;INDUSTRY;COMPLETED;2015-11-20;2015-10-21;21.0;Sweden, United Kingdom;Lymphoma, Non-Hodgkin;2014-004140-36;;EUDRACT_NUMBER:2014-004140-36;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT02581878;CD22;epratuzumab;Th-227;3,2-HOPO;Full-length IgG;Bayer;Direct conjugation;Phase 1;Industry;2015.0;Hematologic lineage marker;Full-length IgG;Alpha emitter;Macrocyclic chelator
NCT01988272;I-131 tositumomab (Bexxar);Full-length IgG;tositumomab;CD20;I-131;Direct radioiodination;Direct radioiodination;Therapeutic;GlaxoSmithKline;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;"Observational dosimetry study. Patients receiving Bexxar as clinical treatment; study develops SPECT/CT-based absorbed dose measurement methods.";llm_extracted;;;University of Michigan;OTHER;COMPLETED;2011-06;2013-11-20;33.0;United States;Non-Hodgkin's Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01988272;CD20;tositumomab;I-131;Direct radioiodination;Full-length IgG;GlaxoSmithKline;Direct radioiodination;;Academic/Hospital;2011.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT01666353;Not applicable;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. FDG-PET imaging study for tumor response to immune checkpoint inhibitors. 18F-FDG is small-molecule tracer, not radiolabeled antibody.;llm_extracted;;EARLY_PHASE1;Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins;OTHER;COMPLETED;2012-04-16;2012-08-16;20.0;United States;Melanoma, Renal Cell Carcinoma (RCC), Non-small Cell Lung Cancer (NSCLC);;;OTHER:NA_00049919;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01666353;;;;;;;;Early Phase 1;Academic/Hospital;2012.0;;;;
NCT00022893;I-131 tositumomab (Bexxar);Full-length IgG;tositumomab;CD20;I-131;Direct radioiodination;Direct radioiodination;Therapeutic;Corixa Corporation;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;Retreatment study with I-131 Anti-B1 (Bexxar) for NHL. Patients who previously responded for ≥3 months.;llm_extracted;;;Corixa Corporation;INDUSTRY;UNKNOWN;;2001-08-17;;United Kingdom, United States;Non-Hodgkin's Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00022893;CD20;tositumomab;I-131;Direct radioiodination;Full-length IgG;Corixa Corporation;Direct radioiodination;;Industry;2001.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT02665065;Iomab-B (131I-apamistamab);Full-length IgG;BC8 (apamistamab);CD45;I-131;Direct radioiodination;Direct radioiodination;Therapeutic;Actinium Pharmaceuticals;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;SIERRA pivotal Phase 3 trial. Iomab-B (131I-BC8/apamistamab) as myeloablative conditioning for HCT in relapsed/refractory AML. FDA approved 2023.;llm_extracted;;PHASE3;Actinium Pharmaceuticals;INDUSTRY;ACTIVE_NOT_RECRUITING;2016-06;2016-01-27;153.0;Canada, United States;Acute Myeloid Leukemia, Leukemia, Acute Myeloid, Myeloid Leukemia, Acute, Leukemia, Myeloid, Acute, Acute Myelogenous Leukemia, Leukemia, Acute Myelogenous, Myelogenous Leukemia, Acute, AML, Bone Marrow Transplant;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT02665065;CD45;apamistamab (BC8);I-131;Direct radioiodination;Full-length IgG;Actinium Pharmaceuticals;Direct radioiodination;Phase 3;Industry;2016.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT04167618;177Lu-DTPA-omburtamab;Full-length IgG;omburtamab;B7-H3 (CD276);Lu-177;DTPA;Direct conjugation;Therapeutic;Y-mAbs Therapeutics;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;Intracerebroventricular 177Lu-DTPA-omburtamab for pediatric recurrent/refractory medulloblastoma. Y-mAbs Phase I/II.;llm_extracted;;PHASE1, PHASE2;Y-mAbs Therapeutics;INDUSTRY;TERMINATED;2021-09-30;2019-11-19;2.0;Denmark, Netherlands, Spain, United Kingdom, United States;Medulloblastoma, Childhood;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04167618;B7-H3;omburtamab (8H9);Lu-177;DTPA;Full-length IgG;Y-mAbs Therapeutics;Direct conjugation;Phase 1/2;Industry;2021.0;Immune checkpoint;Full-length IgG;Beta emitter;Acyclic chelator
NCT06966583;Not applicable;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. NMN supplement + LDRT/SABR (external beam) + PD-1 inhibitor for NSCLC. No radiolabeled antibody. Pattern #2.;llm_extracted;;PHASE1;Sichuan University;OTHER;NOT_YET_RECRUITING;2025-05-01;2025-05-12;20.0;China;Solid Tumor, Non Small Cell Lung Cancer;;;OTHER_GRANT:257253;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06966583;;;;;;;;Phase 1;Academic/Hospital;2025.0;;;;
NCT00004087;90Y-hMN-14 (labetuzumab, 90Y);Full-length IgG;labetuzumab (MN-14, humanized);CEA;"Y-90; I-131";DTPA;Direct conjugation;Theranostic;Immunomedics;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;High-dose 90Y-hMN-14 + PBSC rescue for metastatic colorectal/pancreatic cancer. I-131 comparator for dosimetry. Immunomedics CEA program.;llm_extracted;;PHASE1, PHASE2;Garden State Cancer Center at the Center for Molecular Medicine and Immunology;OTHER;COMPLETED;1997-03;2004-04-16;15.0;United States;Colorectal Cancer, Pancreatic Cancer;;;NIH:P01CA054425 | UNKNOWN:CMMI-C-033-98 | UNKNOWN:NCI-H99-0042 | UNKNOWN:NCI-V99-1571;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00004087;CEA;labetuzumab (MN-14);"Y-90; I-131";DTPA;Full-length IgG;Immunomedics;Direct conjugation;Phase 1/2;Academic/Hospital;1997.0;Epithelial tumor-associated antigen;Full-length IgG;Beta emitter;Acyclic chelator
NCT06173219;Not applicable;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. SBRT/LDRT + PD-1/L1 inhibitor + GM-CSF for advanced solid tumors. No radiolabeled antibody. Pattern #2.;llm_extracted;;PHASE1, PHASE2;China-Japan Friendship Hospital;OTHER;RECRUITING;2025-08-01;2023-12-15;38.0;China;Advanced Solid Tumor;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06173219;;;;;;;;Phase 1/2;Academic/Hospital;2025.0;;;;
NCT04466475;211At-OKT10-B10;Full-length IgG;OKT10-B10;CD38;At-211;Direct radioastatination;Direct radiohalogenation;Therapeutic;Fred Hutchinson Cancer Center;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;Alpha-emitter RIT: 211At-anti-CD38 mAb OKT10-B10 for multiple myeloma before PBSC transplant. Fred Hutch Phase I dose escalation.;llm_extracted;;PHASE1;Fred Hutchinson Cancer Center;OTHER;WITHDRAWN;2024-01-27;2020-07-10;0.0;United States;Plasma Cell Myeloma;;;REGISTRY:NCI-2019-06979 | OTHER:10306 | NIH:R01CA205248;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04466475;CD38;OKT10-B10;At-211;Direct radioastatination;Full-length IgG;Fred Hutchinson Cancer Center;Direct radiohalogenation;Phase 1;Academic/Hospital;2024.0;Hematologic lineage marker;Full-length IgG;Alpha emitter;Direct radiohalogenation
NCT00577629;I-131 tositumomab (Bexxar);Full-length IgG;tositumomab;CD20;I-131;Direct radioiodination;Direct radioiodination;Therapeutic;GlaxoSmithKline;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;Combination of high-dose chemo (CEOP/DHAP) + rituximab + Bexxar for high-risk B-cell NHL (Phase II Duke).;llm_extracted;;PHASE2;Duke University;OTHER;COMPLETED;2005-06-18;2007-12-20;39.0;United States;Lymphoma, B-Cell;;;OTHER_GRANT:GSK-103421 | OTHER:5762;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00577629;CD20;tositumomab;I-131;Direct radioiodination;Full-length IgG;GlaxoSmithKline;Direct radioiodination;Phase 2;Academic/Hospital;2005.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Direct radiohalogenation
NCT03247712;Not applicable;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE. Neoadjuvant nivolumab (PD-1) + SBRT (8 Gy x 3/5) for HNSCC. No radiolabeled antibody. Pattern #2.;llm_extracted;;PHASE1, PHASE2;Providence Health & Services;OTHER;ACTIVE_NOT_RECRUITING;2018-01-15;2017-08-14;22.0;United States;Head and Neck Cancer, Head and Neck Squamous Cell Carcinoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03247712;;;;;;;;Phase 1/2;Academic/Hospital;2018.0;;;;
NCT01973062;90Y-ibritumomab tiuxetan (Zevalin);Full-length IgG;ibritumomab;CD20;Y-90;MX-DTPA (tiuxetan);Direct conjugation;Therapeutic;Bayer;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;Zevalin + rituximab for recurrent/refractory primary CNS lymphoma (PCNSL). Phase II.;llm_extracted;;PHASE2;Case Comprehensive Cancer Center;OTHER;TERMINATED;2014-03;2013-10-31;1.0;United States;Primary Central Nervous System Non-Hodgkin Lymphoma;;;REGISTRY:NCI-2013-01993;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01973062;CD20;ibritumomab;Y-90;MX-DTPA (tiuxetan);Full-length IgG;Bayer;Direct conjugation;Phase 2;Academic/Hospital;2014.0;Hematologic lineage marker;Full-length IgG;Beta emitter;Acyclic chelator
NCT00450827;131I-3F8;Full-length IgG;3F8;GD2;I-131;Direct radioiodination;Direct radioiodination;Therapeutic;Memorial Sloan Kettering Cancer Center;Yes;HIGH;MEDIUM;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;131I-3F8 (anti-GD2) + bevacizumab + stem cell rescue for relapsed/refractory neuroblastoma. MSK Phase I.;llm_extracted;;PHASE1;Memorial Sloan Kettering Cancer Center;OTHER;COMPLETED;2006-08;2007-03-22;25.0;United States;Neuroblastoma;;;NIH:P30CA008748 | UNKNOWN:MSKCC-06072;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT00450827;GD2;3F8;I-131;Direct radioiodination;Full-length IgG;Memorial Sloan Kettering Cancer Center;Direct radioiodination;Phase 1;Academic/Hospital;2006.0;Carbohydrate / glycolipid antigen;Full-length IgG;Beta emitter;Direct radiohalogenation
